Id,Label,namespace,SparqlID,PageRank
59,"Grant, Steven",http://dbpedia.org/resource,http://dbpedia.org/resource/Steven_Grant,0.0011508584842434358
60,Mina Harker,http://dbpedia.org/resource,http://dbpedia.org/resource/Mina_Harker,5.058558908724849E-4
61,"Stoker, Bram",http://dbpedia.org/resource,http://dbpedia.org/resource/Bram_Stoker,0.0048058731800121575
62,Princess Bonnibel Bubblegum,http://dbpedia.org/resource,http://dbpedia.org/resource/Princess_Bubblegum,5.058558908724849E-4
63,Pendleton Ward,http://dbpedia.org/resource,http://dbpedia.org/resource/Pendleton_Ward,0.0026558645354423207
64,Saito,http://dbpedia.org/resource,http://dbpedia.org/resource/Saito_(Ghost_in_the_Shell),5.058558908724849E-4
65,"Shirow, Masamune",http://dbpedia.org/resource,http://dbpedia.org/resource/Masamune_Shirow,0.0030858662643562878
66,Cortometraggio,http://dbpedia.org/resource,http://dbpedia.org/resource/Short_film,9.788823322072517E-4
67,Timothy Jackson Drake-Wayne,http://dbpedia.org/resource,http://dbpedia.org/resource/Tim_Drake,5.058558908724849E-4
68,Pat Broderick,http://dbpedia.org/resource,http://dbpedia.org/resource/Pat_Broderick,0.0028708653998993044
69,Yuki Nagato,http://dbpedia.org/resource,http://dbpedia.org/resource/Yuki_Nagato,5.058558908724849E-4
70,"Tanigawa, Nagaru",http://dbpedia.org/resource,http://dbpedia.org/resource/Nagaru_Tanigawa,0.0013658593487004193
71,Georgina Sparks,http://dbpedia.org/resource,http://dbpedia.org/resource/Georgina_Sparks,5.058558908724849E-4
72,Stephanie Savage,http://dbpedia.org/resource,http://dbpedia.org/resource/Stephanie_Savage,0.002655864535442321
73,"Von Ziegesar, Cecily",http://dbpedia.org/resource,http://dbpedia.org/resource/Cecily_von_Ziegesar,0.0022258628065283535
74,Jonathan Harker,http://dbpedia.org/resource,http://dbpedia.org/resource/Jonathan_Harker,5.058558908724849E-4
75,"Katherine ""Kate"" Manser",http://dbpedia.org/resource,http://dbpedia.org/resource/Cinnamon_(comics),5.058558908724849E-4
76,"Ayers, Dick",http://dbpedia.org/resource,http://dbpedia.org/resource/Dick_Ayers,0.0017958610776143864
77,Count Dracula,http://dbpedia.org/resource,http://dbpedia.org/resource/Count_Dracula,5.058558908724849E-4
78,أدب الجريمة,http://dbpedia.org/resource,http://dbpedia.org/resource/Crime_fiction,0.001100356593648977
79,西部片,http://dbpedia.org/resource,http://dbpedia.org/resource/Western_(genre),6.649614384765332E-4
80,"Huntington, West Virginia",http://dbpedia.org/resource,"http://dbpedia.org/resource/Huntington,_West_Virginia",6.649614384765332E-4
81,Daisuke Jigen,http://dbpedia.org/resource,http://dbpedia.org/resource/Daisuke_Jigen,5.058558908724849E-4
82,Monkey Punch,http://dbpedia.org/resource,http://dbpedia.org/resource/Monkey_Punch,0.0026558645354423207
83,Emma Pillsbury,http://dbpedia.org/resource,http://dbpedia.org/resource/Emma_Pillsbury,5.058558908724849E-4
84,Ian Brennan,http://dbpedia.org/resource,http://dbpedia.org/resource/Ian_Brennan_(writer),0.01039589565589373
85,Edward Cobert,http://dbpedia.org/resource,http://dbpedia.org/resource/Gargantua_(comics),5.058558908724849E-4
86,"Kupperberg, Alan",http://dbpedia.org/resource,http://dbpedia.org/resource/Alan_Kupperberg,9.358576197864521E-4
87,"Hirano, Kouta",http://dbpedia.org/resource,http://dbpedia.org/resource/Kouta_Hirano,9.358576197864521E-4
88,Mr. Morden,http://dbpedia.org/resource,http://dbpedia.org/resource/Mr._Nobody_(comics),5.058558908724849E-4
89,Mukesh Khanna,http://dbpedia.org/resource,http://dbpedia.org/resource/Mukesh_Khanna,9.358576197864521E-4
90,Indian people,http://dbpedia.org/resource,http://dbpedia.org/resource/Indian_people,0.0030114540495199643
91,Sasha Williams,http://dbpedia.org/resource,http://dbpedia.org/resource/Sasha_Williams_(The_Walking_Dead),5.058558908724849E-4
92,"Mazzara, Glen",http://dbpedia.org/resource,http://dbpedia.org/resource/Glen_Mazzara,0.0013658593487004193
93,Victor Samuel Mackey,http://dbpedia.org/resource,http://dbpedia.org/resource/Vic_Mackey,5.058558908724849E-4
94,Shawn Ryan,http://dbpedia.org/resource,http://dbpedia.org/resource/Shawn_Ryan,0.005665876637840093
95,Mysa Nal,http://dbpedia.org/resource,http://dbpedia.org/resource/White_Witch_(comics),5.058558908724849E-4
96,E. Nelson Bridwell,http://dbpedia.org/resource,http://dbpedia.org/resource/E._Nelson_Bridwell,0.004734206225193162
97,"Hooper, Tobe",http://dbpedia.org/resource,http://dbpedia.org/resource/Tobe_Hooper,9.358576197864521E-4
98,"Austin, Texas",http://dbpedia.org/resource,"http://dbpedia.org/resource/Austin,_Texas",9.036197598826059E-4
99,Fantasia científica,http://dbpedia.org/resource,http://dbpedia.org/resource/Science_fantasy,9.573822457615531E-4
100,Louis Gridley Wu,http://dbpedia.org/resource,http://dbpedia.org/resource/Louis_Wu,5.058558908724849E-4
101,"Niven, Larry",http://dbpedia.org/resource,http://dbpedia.org/resource/Larry_Niven,0.0013658593487004193
