8,16,Cuenca,19.5,20,20.6,20.9,21.2,21.9,27,27,27,26.9,26.9,26.8,26.6,26.2,26.1,26.2,25.9,25.7,25.7
8,19,Guadalajara,13.5,13.8,14.2,14.5,14.8,15.3,18.5,18.6,18.6,18.7,18.8,18.9,18.9,19,19,19.3,19.5,19.7,20.1
8,45,Toledo,37.7,39.1,40.8,41.9,42.7,44.5,55.4,55.9,55.9,56.3,56.7,56.8,57,56.5,56.8,57.5,57.7,58.5,59.5
9,,Catalu�a,542.3,561.3,584.9,603,621.5,650.4,798.3,808,808,816.5,827.3,834.6,842.8,846.1,860.1,892.3,904.7,918.8,940.2
9,8,Barcelona,401,415.3,433.2,446.1,460.1,481.4,587.8,595.3,595.3,602.1,610.4,616.2,623.7,627.5,640.1,667.1,677.3,688.6,706.2
9,17,Girona,51.2,53.1,55.4,57.4,59.7,62.9,80,80.9,80.9,81.4,82.4,83,83.3,83.1,83.9,86,86.9,88,89.5
9,25,Lleida,37.3,38,39.1,40,40.8,42.5,54,54.2,54.2,54.4,54.8,54.8,54.7,54.1,53.6,54.2,54.3,54.5,54.9
9,43,Tarragona,52.8,54.8,57.3,59.5,60.9,63.6,76.5,77.6,77.6,78.5,79.6,80.6,81.2,81.3,82.4,85,86.2,87.6,89.6
10,,Comunitat Valenciana,303.2,311.7,323,331.6,339.8,352.9,426.9,431.5,431.5,436,441,443.9,448,450.8,458.8,479.3,486.5,495.8,507.7
10,3,Alicante/Alacant,90.1,93.1,97.6,101.3,104.5,109.4,136,138.1,138.1,140.2,142.3,143.7,145.7,147.1,150.2,156.8,159.6,162.8,167
10,12,Castell�n/Castell�,48.6,49.7,51.2,52.2,53.1,55,67.2,67.2,67.2,67.3,67.6,67.6,67.7,67.5,68.2,70.6,71.3,72.3,73.6
10,46,Valencia/Val�ncia,164.5,168.9,174.2,178.1,182.2,188.6,223.8,226.2,226.2,228.5,231.2,232.6,234.7,236.2,240.5,251.9,255.6,260.6,267.2
11,,Extremadura,73.2,75.8,78.7,80.3,81.9,85.5,108,108.6,108.6,109.3,110.3,110.3,110.1,109.7,110,110.7,110.4,111.3,112.5
11,6,Badajoz,38.8,40.3,42.1,43,44,46.1,59.2,59.6,59.6,59.9,60.6,60.6,60.4,60.2,60.3,60.6,60.5,61.1,62
11,10,C�ceres,34.3,35.5,36.7,37.3,37.9,39.4,48.8,49,49,49.4,49.7,49.7,49.7,49.5,49.7,50,49.9,50.1,50.6
12,,Galicia,282.2,289.3,297.6,304.3,311.1,325.1,416.6,420.8,420.8,424.1,428.2,430.1,430.1,428.3,428.5,432.6,433.8,436,440
12,15,A Coru�a,106.8,110.2,113.6,116.6,119.9,124.8,147.8,149.9,149.9,151.7,153.6,154.7,155,154.9,155.4,157.5,158.7,160.4,162.7
12,27,Lugo,57.1,57.9,59,59.6,60.1,62.6,83.1,83.4,83.4,83.5,83.6,83.4,82.6,81.4,80.6,80.4,79.8,79.2,78.7
12,32,Ourense,56.2,56.8,57.8,58.6,59.1,60.7,74.8,74.6,74.6,74.3,74.3,73.9,73.2,72.3,71.5,71.2,70.6,70.1,69.9
12,36,Pontevedra,62.1,64.5,67.2,69.5,72,77,111,112.9,112.9,114.6,116.6,118.2,119.2,119.7,121,123.4,124.7,126.4,128.6
13,,Madrid (Comunidad de),311.7,326.1,344,358.2,371.6,388.6,456,465.6,465.6,474.5,482.9,490.1,497.7,505.1,517.1,536.9,549.1,565.1,585.8
14,,Murcia (Regi�n de),47.9,48.9,51.5,53.6,55.7,61.5,104.2,106.4,106.4,107.9,109.6,110.6,112.2,112.9,114,116.6,117.3,118.4,120.1
15,,Navarra (Comunidad Foral),41.3,42.6,44,45.3,46.8,48.7,59,59.9,59.9,60.7,61.6,62.2,63.1,64.1,65.7,68.5,70.2,71.8,73.4
16,,Pa�s Vasco,169.8,176.6,185.1,191.8,197.8,205.7,243.3,246.5,246.5,249.9,254.3,256.3,257.7,260.9,267.2,279.9,285.1,290.8,297.5
16,1,�lava,19.6,20.6,21.9,22.9,23.9,25.3,30.1,30.7,30.7,31.3,32.1,32.6,33.1,33.9,35,36.7,37.8,38.9,40.2
16,20,Guip�zcoa,53.7,56.2,59.5,62.2,64.6,67.6,82.1,83.2,83.2,84.5,86.2,87,87.8,89,91.5,96.4,98.2,100.2,102.7
16,48,Vizcaya,96.5,99.8,103.7,106.7,109.3,112.8,131.1,132.6,132.6,134,136,136.6,136.8,138,140.8,146.8,149.1,151.6,154.6
17,,Rioja (La),23.1,23.7,24.6,25.1,25.7,26.9,34.4,34.6,34.6,34.8,35.2,35.3,35.5,35.6,36.3,37.7,38.3,39,39.7
18,51,Ceuta,2.3,2.4,2.6,2.7,2.8,2.9,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.8,3.8
19,52,Melilla,1.9,1.9,2,2,2,2.1,3,3,3,3,3,3.1,3,3,3,3,3,3,3
