,,Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
7,5,Ávila,19.9,19.3,19.4,16.9,15.4,14.1649048626,15.0621669627,10.0463127895,11.4408294601,9.1855041263,8.9144500359,11.4162627894,8.439120329,8.2518228704,10.9618104668,12.4166958962,10.6925880923,13.883161512,16.9642857143
7,9,Burgos,3.7,2.6,2,1.5,1.5,2.0488304593,2.7518260574,2.9833036698,2.2342586324,2.1966880703,1.5493432132,1.8386961972,2.3263542705,3.199472252,5.2390307793,7.7410961132,7.5471698113,8.2480818414,8.2108626198
7,24,León,8.6,8.2,9.6,12.4,13,13.484708063,11.5623171445,10.031641861,10.9930119208,10.6600776562,10.0883912787,10.5529709676,4.3094312964,3.7935909519,7.8001649582,7.739499764,8.6434291098,8.6669806877,9.447331129
7,34,Palencia,12,10.7,8.4,8.4,7.8,6.1063579936,4.9983113813,5.3432532973,6.3707217892,5.9762308998,5.8463630184,4.8054145516,4.9474754321,4.2126719891,7.1380013596,10.5209570677,10.4619565217,8.3673469388,6.8352699932
7,37,Salamanca,12.3,9.4,9.1,9.5,10.6,9.2362344583,8.6382113821,10.2572782668,13.9483707152,12.7601963107,7.9161028417,9.8582039163,10.3401818794,9.4117647059,9.8893731143,9.9757301866,8.6208336814,8.0386924616,9.3614175861
7,40,Segovia,6.2,5.9,4.8,4.2,2.5,3.2679738562,2.6840178935,3.00081103,3.4803723189,5.0867985466,8.038585209,7.8758949881,5.2724768837,6.4391000776,6.8939103792,6.120136003,7.2105556588,6.8814055637,6.8663257852
7,42,Soria,4.2,4.1,4.1,3.9,4,2.950609365,5.148005148,5.4141153722,3.7467700258,9.0614886731,9.702457956,6.1975468044,2.8259473346,2.1725239617,6.3613231552,5.8598726115,6.5864471184,7.4307304786,8.4489281211
7,47,Valladolid,11.2,10.8,10.8,12.2,11.7,10.0138746456,8.6310237353,8.5649528808,7.7667596936,7.657764122,7.3030409769,7.7631425574,4.1702867072,3.3615380188,4.8220305091,4.807801338,5.6052676009,6.0531605986,4.8286604361
7,49,Zamora,7.5,9.7,8.8,7.7,7.9,8.5360648741,10.6872410344,11.107930146,15.5612977318,15.4266800979,14.0158615717,12.3788864787,8.1135902637,7.4310595065,12.0313862249,9.6652110626,8.3928311234,10.3971962617,9.747504404
8,,Castilla-La Mancha,31.7368759588,31.9538759476,30.3625912142,30.0671978824,28.8420469756,27.1139420708,25.818116073,24.5804045331,25.7151492524,26.8028528661,25.6486105553,24.4218886397,21.4401877777,20.7765779368,20.2220115986,19.2787751124,19.6503936525,19.7150212537,19.4328164613
8,2,Albacete,37.6,37.6,36.8,37.1,34.2,33.7888198758,33.538191396,30.2576601671,28.226363009,29.1449560092,28.8339937611,27.877578177,17.7522559475,17.0274636511,18.5462064578,19.5144870791,20.0970948601,21.9282238443,21.3442325159
