,,Years,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
9,,Cataluña,11.84,12.03,12.70,13.32,14.07,15.83,15.39,16.24,17.19,18.90,19.51,20.42,20.75,21.86,23.08,23.10,22.64,23.00,23.52
9,8,Barcelona,12.40,12.70,13.50,13.80,14.60,16.56,15.98,17.00,17.96,19.73,20.31,21.31,21.68,22.75,24.27,24.65,23.95,24.28,24.80
9,17,Girona,9.40,9.20,8.90,11.20,11.60,12.06,12.26,13.38,15.05,14.99,15.68,17.04,17.13,19.19,20.01,18.68,18.52,19.91,19.75
9,25,Lleida,11.80,11.60,11.70,13.20,14.20,15.28,14.92,14.08,14.98,16.91,17.96,16.71,14.63,17.43,18.03,17.58,18.59,18.20,20.85
9,43,Tarragona,9.30,9.10,9.90,11.30,11.80,13.59,13.66,13.98,14.24,17.01,17.57,18.84,20.48,20.15,20.02,19.10,19.46,19.71,19.83
10,,Comunitat Valenciana,8.49,8.94,9.89,10.50,11.37,12.66,13.66,14.29,14.86,16.24,16.45,16.34,17.07,18.89,20.60,21.15,21.13,21.53,21.37
10,3,Alicante/Alacant,6.70,7.00,7.80,8.50,9.50,11.37,12.85,13.71,14.01,14.52,14.58,14.40,15.52,17.90,19.12,19.45,19.20,18.17,18.49
10,12,Castellón/Castelló,7.80,8.00,8.20,10.00,10.40,10.70,11.24,11.81,12.90,14.07,14.50,14.09,14.72,16.17,17.76,19.70,19.34,21.07,21.89
10,46,Valencia/València,9.70,10.30,11.50,11.80,12.70,13.87,14.67,15.19,15.82,17.81,18.07,18.10,18.64,20.18,22.29,22.70,22.95,24.14,23.41
11,,Extremadura,7.12,7.34,8.10,8.20,8.30,9.68,11.06,11.50,11.78,12.19,12.40,13.58,14.06,13.72,15.34,15.93,16.19,16.73,16.98
11,6,Badajoz,7.20,7.30,8.10,7.80,7.60,8.90,9.94,10.59,11.49,12.01,11.80,13.60,14.45,13.90,14.64,15.17,15.51,16.82,17.19
11,10,Cáceres,7.00,7.40,8.10,8.70,9.40,10.92,12.81,12.92,12.25,12.46,13.35,13.54,13.44,13.43,16.46,17.15,17.29,16.59,16.63
