,,Years,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
9,,Cataluna,24.28,19.6,21.66,21.27,17.15,17.63,17.82,13.78,17.71,15.74,16.44,21.5,29.11,32.23,29.62,29.49,25.77,28.53,25.45
9,8,Barcelona,25.74,18.01,24.59,23.12,16.09,18.75,22.05,12.94,20.21,17.75,18.54,24.23,30.6,34.31,31.74,29.94,26.09,28.5,25.85
9,17,Girona,29.55,28.23,16.46,17.16,26.68,22.49,4.72,19.6,14.02,14.17,11.42,17.34,36.4,31.43,21.37,21.68,19.13,25.04,22.91
9,25,Lleida,10.18,41.81,13.56,17.52,25.43,13,4.8,5.92,13.23,8.96,10.82,11.2,21.41,21.83,27.15,48.67,44.23,46.95,38.02
9,43,Tarragona,15.97,10.73,7.03,11.96,11.86,6.84,3.48,19.97,3.75,5.2,7.93,10.13,15.34,23.22,23.03,22.64,19.44,21.77,18.26
10,,Comunitat Valenciana,18.56,16.93,13.92,14.54,14.22,14,14.48,15.93,19.08,15.61,16.85,18.85,27.61,23.88,24.08,21.6,20.85,20.46,18.01
10,3,Alicante/Alacant,8.57,9,2.91,5.11,5.02,3.92,6.42,10.19,11.56,9.9,10.96,12.59,31.42,25.05,23.81,21.23,21.51,20.52,17.02
10,12,Castellon/Castello,11.38,16.44,7.52,3.74,3.51,3.06,9.14,4.98,5.37,7,7.71,12,14.44,16.14,16.27,16.03,12.03,14.71,14.59
10,46,Valencia,26.17,21.88,22.02,22.63,22.16,22.58,20.68,21.93,26.87,21.19,22.66,24.57,27.9,24.85,26.05,23.16,22.4,21.76,19.57
11,,Extremadura,16.1,18.08,25.22,12.88,15.23,8.85,4.8,7.64,6.33,3.12,8.21,9.15,18.9,22.95,19.34,28.44,18.85,21.67,18.41
11,6,Badajoz,19.51,22.4,23.43,18.64,13.73,10.98,3.05,7.64,7.04,3.06,6.26,8.85,19.93,27.72,17.21,23,19.71,19.9,17.91
11,10,Caceres,10.7,11.21,28.08,3.67,17.64,5.4,7.63,7.64,5.44,3.46,11.38,9.64,17.22,15.23,22.8,37.32,17.45,24.61,19.25
